Filename,Energy / hartree,Relative Energy / kJ mol**-1
Fluoxetine_1.inp,-66.86764411,0.0
Fluoxetine_2.inp,-66.8675977,0.12184945498935207
Fluoxetine_3.inp,-66.86663256,2.6558245250031334
Fluoxetine_4.inp,-66.86657735,2.8007783800013115
Fluoxetine_5.inp,-66.86654046,2.8976330750119814
Fluoxetine_6.inp,-66.86637462,3.3330459949961693
Fluoxetine_7.inp,-66.86542611,5.823358999997808
Fluoxetine_8.inp,-66.86536015,5.996536979999348
Fluoxetine_9.inp,-66.86337012,11.221360745003949
Fluoxetine_10.inp,-66.86336208,11.242469764996919
Fluoxetine_11.inp,-66.86334286,11.292931874993386
Fluoxetine_12.inp,-66.86327918,11.460123714984668
Fluoxetine_13.inp,-66.86326883,11.487297640013068
Fluoxetine_14.inp,-66.86326332,11.501764144997438
Fluoxetine_15.inp,-66.86325073,11.534819189990095
Fluoxetine_16.inp,-66.86277545,12.782666829999044
Fluoxetine_17.inp,-66.86250938,13.481233614985946
Fluoxetine_18.inp,-66.86248446,13.546661074989402
Fluoxetine_20.inp,-66.86247503,13.571419540004499
Fluoxetine_19.inp,-66.86247393,13.574307590019593
Fluoxetine_21.inp,-66.86246327,13.602295419984749
Fluoxetine_22.inp,-66.86245215,13.631490980012522
Fluoxetine_23.inp,-66.86234514,13.912445734995664
Fluoxetine_24.inp,-66.86215565,14.409951729987249
Fluoxetine_25.inp,-66.8620983,14.560524155002582
Fluoxetine_26.inp,-66.86208361,14.599092750003706
Fluoxetine_27.inp,-66.86167045,15.683844329987153
Fluoxetine_28.inp,-66.86159649,15.878026310010284
Fluoxetine_29.inp,-66.8615834,15.912394104999628
Fluoxetine_30.inp,-66.86144546,16.27455557500459
Fluoxetine_31.inp,-66.86137912,16.44873124501406
Fluoxetine_33.inp,-66.86135092,16.522770344983833
Fluoxetine_32.inp,-66.86133805,16.556560530000006
Fluoxetine_34.inp,-66.86104816,17.31766672501258
Fluoxetine_35.inp,-66.86029356,19.29886902499522
Fluoxetine_38.inp,-66.86025836,19.391286624993214
Fluoxetine_36.inp,-66.86024185,19.4346336300166
Fluoxetine_37.inp,-66.86021782,19.497724394994613
Fluoxetine_39.inp,-66.86020308,19.536424264987943
Fluoxetine_40.inp,-66.86020033,19.543644390007024
Fluoxetine_41.inp,-66.85975839,20.70395786001162
Fluoxetine_42.inp,-66.85966859,20.939727760005866
Fluoxetine_43.inp,-66.85963543,21.026789340008428
Fluoxetine_44.inp,-66.85963502,21.027865795004217
Fluoxetine_45.inp,-66.85955735,21.2317883799938
Fluoxetine_46.inp,-66.85924362,22.05548649499908
Fluoxetine_47.inp,-66.85903047,22.61511182001889
Fluoxetine_48.inp,-66.85895033,22.82551939000404
Fluoxetine_49.inp,-66.85894419,22.84163995999468
Fluoxetine_50.inp,-66.85890683,22.939728640014174
Fluoxetine_51.inp,-66.85888871,22.987302699995546
Fluoxetine_52.inp,-66.85881489,23.181117109988264
Fluoxetine_53.inp,-66.85879558,23.231815514985627
Fluoxetine_54.inp,-66.85875578,23.336310415012825
Fluoxetine_55.inp,-66.85826412,24.627163744998263
